seed,sorce_acc,PL_acc,VAT_acc
1,0.5987,0.3803,0.4342
2,0.5936,0.3801,0.4774
3,0.6696,0.5271,0.4879
4,0.6392,0.307,0.5499
5,0.665,0.4055,0.5885
6,0.6538,0.6448,0.6347
7,0.6745,0.5744,0.5545
8,0.6391,0.4754,0.1112
9,0.6363,0.4407,0.5459
10,0.6472,0.2591,0.3885
11,0.6707,0.6374,0.5683
12,0.664,0.5689,0.5684
13,0.6561,0.6161,0.6149
14,0.7054,0.5399,0.6304
15,0.6644,0.6633,0.6237
16,0.6126,0.3595,0.5163
17,0.7101,0.4309,0.6578
18,0.6324,0.3981,0.4052
19,0.4185,0.3771,0.3797
20,0.6357,0.4627,0.5219
21,0.6844,0.5482,0.5263
22,0.6244,0.425,0.3854
23,0.7031,0.5085,0.5106
24,0.3242,0.2653,0.26
25,0.619,0.6169,0.6185
26,0.7002,0.2394,0.5955
27,0.6548,0.2765,0.4561
28,0.6649,0.4557,0.3506
29,0.6392,0.2176,0.4988
30,0.6657,0.4462,0.5505
31,0.6071,0.2891,0.4112
32,0.6303,0.377,0.5019
33,0.6269,0.5229,0.5177
34,0.6465,0.5587,0.485
35,0.6648,0.3551,0.4345
36,0.6185,0.507,0.5409
37,0.6877,0.5649,0.5865
38,0.5719,0.5757,0.5275
39,0.1912,0.2008,0.0993
40,0.6563,0.3539,0.5506
41,0.6269,0.2509,0.446
42,0.6872,0.5685,0.5366
43,0.6231,0.5764,0.5672
44,0.6156,0.6025,0.5688
45,0.6739,0.6071,0.5893
46,0.6414,0.5078,0.51
47,0.709,0.5087,0.5173
48,0.5897,0.5146,0.5261
49,0.654,0.3462,0.4923
50,0.6069,0.527,0.5159
