seed,sorce_acc,PL_acc,VAT_acc
1,0.3208,0.2252,0.2958
2,0.226,0.1885,0.1885
3,0.2451,0.1838,0.1838
4,0.2545,0.1992,0.1867
5,0.2304,0.1841,0.1841
6,0.2551,0.1885,0.1885
7,0.2211,0.1871,0.1871
8,0.2847,0.1919,0.1919
9,0.2465,0.1928,0.1928
10,0.242,0.2053,0.1898
11,0.2795,0.1806,0.1806
12,0.2395,0.1925,0.1925
13,0.2477,0.1873,0.1858
14,0.2432,0.189,0.189
15,0.2237,0.1857,0.1857
16,0.2487,0.1977,0.1977
17,0.2355,0.1893,0.1893
18,0.2389,0.1882,0.1882
19,0.2334,0.1903,0.1903
20,0.2462,0.1942,0.1942
21,0.2187,0.1857,0.1857
22,0.2299,0.1908,0.1908
23,0.2385,0.1893,0.1893
24,0.216,0.1884,0.1884
25,0.2689,0.1877,0.1877
26,0.244,0.1843,0.1843
27,0.2365,0.1917,0.1917
28,0.2367,0.1893,0.1886
29,0.2415,0.1886,0.1886
30,0.2492,0.1921,0.1921
31,0.2665,0.1899,0.1899
32,0.2688,0.2189,0.2516
33,0.2884,0.264,0.289
34,0.264,0.2434,0.1854
35,0.2668,0.1956,0.1956
36,0.2371,0.2421,0.2529
37,0.2635,0.2562,0.2432
38,0.23,0.1851,0.1851
39,0.2507,0.2084,0.1902
40,0.232,0.193,0.193
41,0.2477,0.2679,0.1876
42,0.2562,0.1907,0.2276
43,0.226,0.1765,0.1786
44,0.2453,0.2268,0.2304
45,0.3012,0.19,0.19
46,0.2383,0.1941,0.1941
47,0.2356,0.1909,0.1909
48,0.2255,0.1909,0.1909
49,0.2167,0.1907,0.1907
50,0.2501,0.1872,0.1872
